make_standardized,model_raw,model_standardized
HONDA,CRV V,CRV V
HONDA,CRV VI,CRV VI
HONDA,CRV VT,CRV VT
HONDA,CRVVTL,CRVVTL
HONDA,CT10,CT10
HONDA,CT125,CT125
HONDA,CV,CV
HONDA,DIO 11,DIO 11
HONDA,DIO110,DIO110
HONDA,DIOS,DIOS
HONDA,EX5,EX5
HONDA,FIT,FIT
HONDA,FORZA,FORZA
HONDA,FORZA3,FORZA3
HONDA,GB350,GB350
HONDA,GB350C,GB350C
HONDA,GB350R,GB350R
HONDA,GB400,GB400
HONDA,GB500,GB500
HONDA,GL1800,GL1800
HONDA,GOLDIN,GOLDIN
HONDA,GOLDWI,GOLDWI
HONDA,HEV EH,HEV EH
HONDA,HONDA,HONDA
HONDA,HONDAZ,HONDAZ
HONDA,HORNET,HORNET
HONDA,HR-V,HR V
HONDA,HR V,HR V
HONDA,HR VIX,HR VIX
HONDA,HRV,HRV
HONDA,HRV E,HRV E
HONDA,HRV EH,HRV EH
HONDA,HRV HE,HRV HE
HONDA,HRV V,HRV V
HONDA,HRV VI,HRV VI
HONDA,HZRV,HZRV
HONDA,HZV,HZV
HONDA,IMPREZ,IMPREZ
HONDA,JK29,JK29
HONDA,L15ZK5,L15ZK5
HONDA,MP3,MP3
HONDA,MW110,MW110
HONDA,NAKED,NAKED
HONDA,NAV110,NAV110
HONDA,NAVI,NAVI
HONDA,NAVI 1,NAVI 1
HONDA,NAVI L,NAVI L
HONDA,NAVI11,NAVI11
HONDA,NBOX,NBOX
HONDA,NCS110,NCS110
HONDA,NSC110,NSC110
HONDA,NSR250,NSR250
HONDA,NSS350,NSS350
HONDA,NT 110,NT 110
HONDA,NT1100,NT1100
HONDA,NVA110,NVA110
HONDA,NX500,NX500
HONDA,ODYSEY,ODYSEY
HONDA,ODYSSE,ODYSSE
HONDA,P700,P700
HONDA,PCX,PCX
HONDA,PCX 12,PCX 12
HONDA,PCX125,PCX125
HONDA,PCX150,PCX150
HONDA,PIONEE,PIONEE
HONDA,PRELUD,PRELUD
HONDA,PXC125,PXC125
HONDA,R 1250,R 1250
HONDA,R1300G,R1300G
HONDA,S660,S660
HONDA,SDH125,SDH125
HONDA,SELTOS,SELTOS
HONDA,SUPER,SUPER
HONDA,SWV2,SWV2
HONDA,SX1000,SX1000
HONDA,SX5700,SX5700
HONDA,SXS,SXS
HONDA,SXS 10,SXS 10
HONDA,SXS 70,SXS 70
HONDA,SXS100,SXS100
HONDA,SXS520,SXS520
HONDA,SXS700,SXS700
HONDA,TRANSA,TRANSA
HONDA,TRX042,TRX042
HONDA,TRX420,TRX420
HONDA,TRX500,TRX500
HONDA,TRX520,TRX520
HONDA,TYPE R,TYPE R
HONDA,TYPER,TYPER
HONDA,VARG,VARG
HONDA,VL750,VL750
HONDA,VRV,VRV
HONDA,WAGON,WAGON
HONDA,WW125,WW125
HONDA,WW125P,WW125P
HONDA,XL 750,XL 750
HONDA,XL TRA,XL TRA
HONDA,XL750,XL750
HONDA,XL750P,XL750P
HONDA,XL750S,XL750S
HONDA,XL750V,XL750V
HONDA,XR125,XR125
HONDA,XR150L,XR150L
HONDA,XR190,XR190
HONDA,XR190C,XR190C
HONDA,XR200R,XR200R
HONDA,XR400,XR400
HONDA,XR750,XR750
HONDA,ZEV,ZEV
HONDA,ZR,ZR
HONDA,ZR V,ZR V
HONDA,ZR900S,ZR900S
HONDA,ZRC,ZRC
HONDA,ZRV,ZRV
HONDA,ZRV EH,ZRV EH
HONDA,ZRV HE,ZRV HE
HONDA,ZRV HY,ZRV HY
HONDA,ZRV V,ZRV V
HONDA,ZRV VT,ZRV VT
JAGUAR,408,408
JAGUAR,E PACE,E PACE
JAGUAR,EPACE,EPACE
JAGUAR,F PACE,F PACE
JAGUAR,F-PACE,F PACE
JAGUAR,F TYPE,F TYPE
JAGUAR,F-TYPE,F TYPE
JAGUAR,FPACE,FPACE
JAGUAR,FTYPE,FTYPE
JAGUAR,H6,H6
JAGUAR,I PACE,I PACE
JAGUAR,IPACE,IPACE
JAGUAR,MY24 F,MY24 F
JAGUAR,P250 R,P250 R
JAGUAR,XE,XE
JAGUAR,XE 300,XE 300
JAGUAR,XE P30,XE P30
JAGUAR,XE15,XE15
JAGUAR,XE300,XE300
JAGUAR,XF,XF
JEEP,AVENGE,AVENGE
JEEP,CHEROK,CHEROK
JEEP,COMPAS,COMPAS
JEEP,GLADIA,GLADIA
JEEP,GLADIT,GLADIT
JEEP,GRAND,GRAND
JEEP,GRD CH,GRD CH
JEEP,GRDCHK,GRDCHK
JEEP,PATRIO,PATRIO
JEEP,RENEGA,RENEGA
JEEP,RUBICO,RUBICO
JEEP,WAGONR,WAGONR
JEEP,WRAGLE,WRAGLE
JEEP,WRAN99,WRAN99
JEEP,WRANG,WRANG
JEEP,WRANGE,WRANGE
JEEP,WRANGL,WRANGL
KIA,2025,2025
KIA,2026,2026
KIA,ARIYA,ARIYA
KIA,BD CER,BD CER
KIA,BDH CE,BDH CE
KIA,CANRIV,CANRIV
KIA,CAR,CAR
KIA,CARBIV,CARBIV
KIA,CARINV,CARINV
KIA,CARIVA,CARIVA
KIA,CARN,CARN
KIA,CARNI,CARNI
KIA,CARNIA,CARNIA
KIA,CARNIV,CARNIV
KIA,CARNVA,CARNVA
KIA,CARNVI,CARNVI
KIA,CARNVL,CARNVL
KIA,CARVIV,CARVIV
KIA,CEARTO,CEARTO
KIA,CERAAT,CERAAT
KIA,CERARO,CERARO
KIA,CERAT,CERAT
KIA,CERAT0,CERAT0
KIA,CERATO,CERATO
KIA,CERRAT,CERRAT
KIA,CERTAO,CERTAO
KIA,CERTAT,CERTAT
KIA,CERTO,CERTO
KIA,CK STI,CK STI
KIA,CL4M,CL4M
KIA,CL4M K,CL4M K
KIA,CRANIV,CRANIV
KIA,CV EV6,CV EV6
KIA,CVEV6,CVEV6
KIA,D4HEPH,D4HEPH
KIA,DE NIR,DE NIR
KIA,EV 3,EV 3
KIA,EV 5,EV 5
KIA,EV 5 E,EV 5 E
KIA,EV 6,EV 6
KIA,EV 9,EV 9
KIA,EV3,EV3
KIA,EV3 A,EV3 A
KIA,EV3 AI,EV3 AI
KIA,EV3 EA,EV3 EA
KIA,EV3 GT,EV3 GT
KIA,EV4,EV4
KIA,EV4 AI,EV4 AI
KIA,EV4 CT,EV4 CT
KIA,EV4 EA,EV4 EA
KIA,EV4 GT,EV4 GT
KIA,EV5,EV5
KIA,EV5 AI,EV5 AI
KIA,EV5 EA,EV5 EA
KIA,EV5 GT,EV5 GT
KIA,EV5 OV,EV5 OV
KIA,EV6,EV6
KIA,EV6 AI,EV6 AI
KIA,EV6 EL,EV6 EL
KIA,EV6 GT,EV6 GT
KIA,EV6 RW,EV6 RW
KIA,EV6GT,EV6GT
KIA,EV9,EV9
KIA,EV9 GT,EV9 GT
KIA,EVA,EVA
KIA,EVERES,EVERES
KIA,EX5,EX5
KIA,G10,G10
KIA,G4FTSH,G4FTSH
KIA,G4LASP,G4LASP
KIA,G4LCPS,G4LCPS
KIA,GREY,GREY
KIA,I30,I30
KIA,JA PIC,JA PIC
KIA,JOLION,JOLION
KIA,K4,K4
KIA,K4 CL4,K4 CL4
KIA,K4 GT,K4 GT
KIA,K4 GTL,K4 GTL
KIA,K4 MY2,K4 MY2
KIA,K4 S,K4 S
KIA,K4 SPO,K4 SPO
KIA,KA,KA
KIA,KA GT,KA GT
KIA,KA4,KA4
KIA,KA4 CA,KA4 CA
KIA,KA4 PE,KA4 PE
KIA,MQ4,MQ4
KIA,MQ4 PE,MQ4 PE
KIA,MQ4 SO,MQ4 SO
KIA,MU X,MU X
KIA,MUSSO,MUSSO
KIA,MV EV9,MV EV9
KIA,NERO,NERO
KIA,NIR0,NIR0
KIA,NIRO,NIRO
KIA,NIRO E,NIRO E
KIA,NIRO G,NIRO G
KIA,NIRO H,NIRO H
KIA,NIRO S,NIRO S
KIA,NQ5,NQ5
KIA,NQ5 SP,NQ5 SP
KIA,OMODA,OMODA
KIA,OVC EV,OVC EV
KIA,PCIANT,PCIANT
KIA,PE CAR,PE CAR
KIA,PE CER,PE CER
KIA,PE SOR,PE SOR
KIA,PICAN,PICAN
KIA,PICANO,PICANO
KIA,PICANT,PICANT
KIA,PICATO,PICATO
KIA,PICNAT,PICNAT
KIA,PINCAT,PINCAT
KIA,QASHQA,QASHQA
KIA,R,R
KIA,RIO,RIO
KIA,RIO GT,RIO GT
KIA,RIO PE,RIO PE
KIA,RIO S,RIO S
KIA,RIO SP,RIO SP
KIA,RIO ST,RIO ST
KIA,SANTA,SANTA
KIA,SEALIO,SEALIO
KIA,SEDAN,SEDAN
KIA,SELOTS,SELOTS
KIA,SELT,SELT
KIA,SELTO,SELTO
KIA,SELTOC,SELTOC
KIA,SELTOD,SELTOD
KIA,SELTOS,SELTOS
KIA,SELTS,SELTS
KIA,SERENT,SERENT
KIA,SETLOS,SETLOS
KIA,SETOS,SETOS
KIA,SG2 NI,SG2 NI
KIA,SL10,SL10
KIA,SLTOS,SLTOS
KIA,SO,SO
KIA,SOENTO,SOENTO
KIA,SOERNT,SOERNT
KIA,SONIC,SONIC
KIA,SORE,SORE
KIA,SOREN,SOREN
KIA,SORENO,SORENO
KIA,SORENT,SORENT
KIA,SORETN,SORETN
KIA,SORNET,SORNET
KIA,SORNTO,SORNTO
KIA,SORREN,SORREN
KIA,SORRET,SORRET
KIA,SORTAG,SORTAG
KIA,SP,SP
KIA,SP0RTA,SP0RTA
KIA,SP2,SP2
KIA,SP2 SE,SP2 SE
KIA,SPARTA,SPARTA
KIA,SPORAG,SPORAG
KIA,SPORAT,SPORAT
KIA,SPORGA,SPORGA
KIA,SPORT,SPORT
KIA,SPORTA,SPORTA
KIA,SPORTG,SPORTG
KIA,SPORTR,SPORTR
KIA,SPORTS,SPORTS
KIA,SPOTRA,SPOTRA
KIA,SPPORT,SPPORT
KIA,SPRENT,SPRENT
KIA,SPROTA,SPROTA
KIA,SPTAGE,SPTAGE
KIA,STINGE,STINGE
KIA,STINIC,STINIC
KIA,STOIC,STOIC
KIA,STONC,STONC
KIA,STONI,STONI
KIA,STONIC,STONIC
KIA,STORTA,STORTA
KIA,SWIFT,SWIFT
KIA,TANK 3,TANK 3
KIA,TASAMA,TASAMA
KIA,TASMAN,TASMAN
KIA,TIGGO,TIGGO
KIA,TK,TK
KIA,TK TAS,TK TAS
KIA,TUCSON,TUCSON
KIA,VENUE,VENUE
KIA,WAGON,WAGON
KIA,X TRAI,X TRAI
KIA,XTRAIL,XTRAIL
KIA,YB RIO,YB RIO
KIA,YB STO,YB STO
KIA,YBW ST,YBW ST
LEXUS,1ZA8MV,1ZA8MV
LEXUS,ENX250,ENX250
LEXUS,ES,ES
LEXUS,ES 500,ES 500
LEXUS,ES250,ES250
LEXUS,ES300,ES300
LEXUS,ES300H,ES300H
LEXUS,ES300S,ES300S
LEXUS,EX350H,EX350H
LEXUS,G10,G10
LEXUS,GX,GX
LEXUS,GX50,GX50
LEXUS,GX550,GX550
LEXUS,L5500H,L5500H
LEXUS,LBX,LBX
LEXUS,LBX 2W,LBX 2W
LEXUS,LBX LU,LBX LU
LEXUS,LBX MO,LBX MO
LEXUS,LBX SP,LBX SP
LEXUS,LC500,LC500
LEXUS,LC500C,LC500C
LEXUS,LC500H,LC500H
LEXUS,LEXUS,LEXUS
LEXUS,LM350H,LM350H
LEXUS,LM500H,LM500H
LEXUS,LS500,LS500
LEXUS,LS500H,LS500H
LEXUS,LX,LX
LEXUS,LX350H,LX350H
LEXUS,LX500D,LX500D
LEXUS,LX50D,LX50D
LEXUS,LX550D,LX550D
LEXUS,LX600,LX600
LEXUS,LX700H,LX700H
LEXUS,M15AZ0,M15AZ0
LEXUS,MORIZO,MORIZO
LEXUS,NH450H,NH450H
LEXUS,NX,NX
LEXUS,NX 350,NX 350
LEXUS,NX250,NX250
LEXUS,NX350,NX350
LEXUS,NX350H,NX350H
LEXUS,NX450,NX450
LEXUS,NX450H,NX450H
LEXUS,NZ450H,NZ450H
LEXUS,RC550H,RC550H
LEXUS,RX,RX
LEXUS,RX AL3,RX AL3
LEXUS,RX350,RX350
LEXUS,RX350F,RX350F
LEXUS,RX350H,RX350H
LEXUS,RX450E,RX450E
LEXUS,RX450H,RX450H
LEXUS,RX500H,RX500H
LEXUS,RXH,RXH
LEXUS,RZ,RZ
LEXUS,RZ450E,RZ450E
LEXUS,RZ500,RZ500
LEXUS,RZ500E,RZ500E
LEXUS,RZ550E,RZ550E
LEXUS,UX,UX
LEXUS,UX200,UX200
LEXUS,UX250H,UX250H
LEXUS,UX300E,UX300E
LEXUS,UX300H,UX300H
LEXUS,UX50H,UX50H
LOTUS,ELETRE,ELETRE
LOTUS,EMEYA,EMEYA
LOTUS,EMIRA,EMIRA
MAZDA,2,2
MAZDA,2 G15,2 G15
MAZDA,2 HATC,2 HATC
MAZDA,2 HB G,2 HB G
MAZDA,2 PURE,2 PURE
MAZDA,2 S G1,2 S G1
MAZDA,200,200
MAZDA,200RAS,200RAS
MAZDA,2024,2024
MAZDA,2025,2025
MAZDA,3,3
MAZDA,3 ASTI,3 ASTI
MAZDA,3 EVOL,3 EVOL
MAZDA,3 G20,3 G20
MAZDA,3 G25,3 G25
