make_standardized,model_raw,model_standardized,ev_category
FIAT,500 BE,500 BE,ICE
FIAT,500 DO,500 DO,ICE
FIAT,500 LO,500 LO,ICE
FIAT,500E,500E,ICE
FIAT,500E L,500E L,ICE
FIAT,695 CO,695 CO,ICE
FIAT,ABARIT,ABARIT,ICE
FIAT,ABARTH,ABARTH,ICE
FIAT,APPLAU,APPLAU,ICE
FIAT,B 6832,B 6832,ICE
FIAT,B 6942,B 6942,ICE
FIAT,B6732,B6732,ICE
FIAT,B6832,B6832,ICE
FIAT,B7452,B7452,ICE
FIAT,BIRSDV,BIRSDV,ICE
FIAT,C 7454,C 7454,ICE
FIAT,C 7464,C 7464,ICE
FIAT,C7454,C7454,ICE
FIAT,CASUAR,CASUAR,ICE
FIAT,CONQUE,CONQUE,ICE
FIAT,DESTIN,DESTIN,ICE
FIAT,DUCATI,DUCATI,ICE
FIAT,DUCATO,DUCATO,ICE
FIAT,EMU RV,EMU RV,ICE
FIAT,FA 25,FA 25,ICE
FIAT,FD 19,FD 19,ICE
FIAT,IN3,IN3,ICE
FIAT,IN500,IN500,ICE
FIAT,IN600,IN600,ICE
FIAT,IND600,IND600,ICE
FIAT,INDIE,INDIE,ICE
FIAT,INIE C,INIE C,ICE
FIAT,JAYCON,JAYCON,ICE
FIAT,JRV,JRV,ICE
FIAT,OPTIMU,OPTIMU,ICE
FIAT,RANGER,RANGER,ICE
FIAT,RENTAL,RENTAL,ICE
FIAT,SCUDO,SCUDO,ICE
FIAT,SIGNAT,SIGNAT,ICE
FIAT,TARINO,TARINO,ICE
FIAT,TORINO,TORINO,ICE
FIAT,V 6442,V 6442,ICE
FIAT,V6414,V6414,ICE
FORD,2023,2023,ICE
FORD,2024,2024,ICE
FORD,2025,2025,ICE
FORD,ALL N,ALL N,ICE
FORD,ALL NE,ALL NE,ICE
FORD,ARBRGR,ARBRGR,ICE
FORD,ATTO 2,ATTO 2,ICE
FORD,BF2SRW,BF2SRW,ICE
FORD,D90,D90,ICE
