make_standardized,model_standardized,ev_category
CHERY,T34,BEV
CHERY,T34 OM,BEV
CHERY,T35 TI,BEV
CHERY,T3X,BEV
CHERY,T4 ULT,BEV
CHERY,T4 URB,BEV
CHERY,T431,BEV
CHERY,T7 CSH,BEV
CHERY,T8 CSH,BEV
CHERY,T8 ULT,BEV
CHERY,T9 CSH,BEV
CHERY,TGGO 4,BEV
CHERY,TI,BEV
CHERY,TI41,BEV
CHERY,TIGG4,BEV
CHERY,TIGGO,BEV
CHERY,TIGGO4,BEV
CHERY,TIGGO7,BEV
CHERY,TIGGO8,BEV
CHERY,TIGGO9,BEV
CHERY,TIGO 4,BEV
CHERY,TIGO4,BEV
CHERY,TOGGO,BEV
CHERY,WAGON,BEV
CHERY,ZS HEV,BEV
CHEVROLET,1500 S,ICE
CHEVROLET,2500 H,ICE
CHEVROLET,2500 S,ICE
CHEVROLET,3LT,ICE
CHEVROLET,4X4 SI,ICE
CHEVROLET,C8 LT3,ICE
CHEVROLET,CAMARO,ICE
CHEVROLET,COREVE,BEV
CHEVROLET,CORVET,ICE
CHEVROLET,COVETT,ICE
CHEVROLET,DENALI,ICE
CHEVROLET,GMSV C,ICE
CHEVROLET,L2 SIL,ICE
CHEVROLET,LF SI,ICE
CHEVROLET,LF SIL,ICE
CHEVROLET,MY24 4,ICE
CHEVROLET,SILKVE,ICE
CHEVROLET,SILVAR,ICE
CHEVROLET,SILVE,ICE
CHEVROLET,SILVER,ICE
CHEVROLET,SILVR,ICE
CHEVROLET,SIVERA,ICE
CHEVROLET,SLIVER,ICE
CHEVROLET,T1XCH2,ICE
CHEVROLET,TIGGO,ICE
CHEVROLET,UTE,ICE
CHEVROLET,WHITE,ICE
CHEVROLET,Y2R CO,ICE
CHEVROLET,YUKON,ICE
CHEVROLET,ZR2,ICE
CITROEN,C3,ICE
CITROEN,C3 SHI,ICE
CITROEN,C4,ICE
CITROEN,C4 SHI,ICE
CITROEN,C5,ICE
CITROEN,C5 AIR,ICE
CITROEN,C5 X,ICE
CITROEN,C5 X S,ICE
CITROEN,C5X,ICE
CUPRA,ATECA,BEV
CUPRA,BORN,BEV
CUPRA,CUPRA,BEV
CUPRA,FORMEN,BEV
CUPRA,FORMET,BEV
CUPRA,FORMTR,BEV
CUPRA,LEON,BEV
CUPRA,LEON S,BEV
CUPRA,LEON V,BEV
CUPRA,TAVASC,BEV
CUPRA,TERRAM,BEV
DAIHATSU,HI-JET,ICE
DAIHATSU,HIJET,ICE
DEEPAL,E07,BEV
DEEPAL,EO7,BEV
DEEPAL,S07,BEV
DEEPAL,SO7,BEV
DENZA,B5,BEV
DENZA,B5L,BEV
DENZA,B8,BEV
DENZA,D9,BEV
DODGE,2500 L,ICE
DODGE,3500,ICE
DODGE,3500 L,ICE
DODGE,CHALL,ICE
DODGE,CHALLE,ICE
DODGE,CHALLR,ICE
DODGE,R A M,ICE
DODGE,RAM,ICE
DODGE,RAM 15,ICE
DODGE,RAM 25,ICE
DODGE,RAM 35,ICE
DODGE,RAM D1,ICE
DODGE,RAM TR,ICE
FERRARI,12 CIL,ICE
FERRARI,12CILI,ICE
FERRARI,296 GT,ICE
FERRARI,812 GT,ICE
FERRARI,922D,ICE
FERRARI,F171,ICE
FERRARI,F8,ICE
FERRARI,K105,ICE
FERRARI,PORTOF,ICE
FERRARI,PUROSA,ICE
FERRARI,ROMA,ICE
FERRARI,ROMA S,ICE
FERRARI,SF90 S,ICE
FERRARI,SF90 X,ICE
FERRARI,TURBO4,ICE
FIAT,500,ICE
FIAT,500 BE,ICE
FIAT,500 DO,ICE
FIAT,500 LO,ICE
FIAT,500E,PHEV
FIAT,500E L,PHEV
FIAT,695 CO,ICE
FIAT,ABARIT,ICE
FIAT,ABARTH,ICE
FIAT,APPLAU,ICE
FIAT,B 6832,ICE
FIAT,B 6942,ICE
FIAT,B6732,ICE
FIAT,B6832,ICE
FIAT,B7452,ICE
FIAT,BIRSDV,ICE
FIAT,C 7454,ICE
FIAT,C 7464,ICE
FIAT,C7454,ICE
FIAT,CASUAR,ICE
FIAT,CONQUE,ICE
FIAT,DESTIN,ICE
FIAT,DUCATI,ICE
FIAT,DUCATO,ICE
