make_standardized,model_standardized,ev_category
DEEPAL,S07,EV
DENZA,B5,EV
DENZA,B8,EV
FIAT,500,EV
FIAT,BIRSDV,EV
FIAT,DESTIN,EV
FIAT,IN3,EV
FIAT,IN500,EV
FIAT,IN600,EV
FIAT,SIGNAT,EV
FORD,2025,EV
FORD,R,EV
FORD,SUPER,EV
FORD,SUPERD,EV
FORD,TIGGO,EV
FORD,TOURNE,EV
FORD,XL BLA,EV
MAZDA,3 EVOL,EV
TOYOTA,86 GR,EV
TOYOTA,8FG25,EV
TOYOTA,BZX4,EV
VOLVO,C40 EL,EV
TOYOTA,CAMERY,EV
TOYOTA,CAMRTY,EV
MAZDA,CX30 T,EV
MAZDA,CX60 A,EV
MAZDA,CXX5,EV
LDV,EPX1A,EV
FORD,F150 X,EV
VOLVO,FH500,EV
VOLVO,FH647,EV
VOLVO,FH64T,EV
VOLVO,FH6X47,EV
VOLVO,FM5400,EV
MAZDA,M3,EV
AUDI,Q5 SPO,EV
KIA,SANTA,EV
KIA,SPORT,EV
FORD,UTE CA,EV
SUBARU,WR,EV
MAZDA,ZS EV,EV
VOLVO,16S,EV
NISSAN,370Z,EV
TOYOTA,ALPH,EV
JEEP,AVENGE,EV
VOLVO,B8RE6,EV
VOLVO,B8RLE,EV
TOYOTA,C HR G,EV
TOYOTA,C HR H,EV
MAZDA,C3,EV
NISSAN,CAPTUR,EV
KIA,CARNVA,EV
KIA,CERAT0,EV
TOYOTA,CH R,EV
TOYOTA,CHR GR,EV
TOYOTA,COROLA,EV
SUBARU,CROSS,EV
TOYOTA,CX3,EV
MAZDA,CX3 20,EV
MAZDA,CX3 PU,EV
KIA,D4HEPH,EV
LDV,D60,EV
LDV,EDELIV,EV
FORD,EVERTE,EV
VOLVO,FM11,EV
VOLVO,FMX50,EV
VOLVO,FMX500,EV
TOYOTA,HI ACE,EV
VOLVO,HS,EV
TOYOTA,ILUX,EV
KIA,JOLION,EV
TOYOTA,LANDCU,EV
LEXUS,LBX,EV
LEXUS,LBX LU,EV
LEXUS,LBX SP,EV
TOYOTA,LC79 D,EV
LEXUS,LM500H,EV
MAZDA,M2,EV
MAZDA,M6,EV
NISSAN,NAVAR,EV
KIA,PE CER,EV
TOYOTA,PRIUS,EV
AUDI,Q5 E,EV
AUDI,Q8 E,EV
FORD,RANER,EV
LEXUS,RC550H,EV
AUDI,RS Q3,EV
LEXUS,RX450H,EV
NISSAN,SERENA,EV
TOYOTA,SHERWO,EV
SUBARU,SOLTER,EV
KIA,SORREN,EV
KIA,SPARTA,EV
AUDI,TT COU,EV
KIA,TUCSON,EV
LEXUS,UX300H,EV
AUDI,A4 ALL,EV
AUDI,RS 3,EV
AUDI,RSETRO,EV
CHERY,CHR,EV
FIAT,APPLAU,EV
FIAT,FD 19,EV
FORD,E,EV
FORD,F 250,EV
FORD,F-150,EV
FORD,FOCUS,EV
FORD,MUSTAG,EV
FORD,RANGR,EV
FORD,SHELBY,EV
FORD,SUPGD,EV
KIA,CERRAT,EV
KIA,NIRO G,EV
KIA,PCIANT,EV
KIA,R,EV
KIA,SONIC,EV
KIA,SPORTG,EV
KIA,WAGON,EV
KIA,YB STO,EV
LDV,D90 4X,EV
LDV,DELOVE,EV
LDV,E T60,EV
LDV,ET60,EV
LDV,GIO,EV
LDV,SK8C,EV
LDV,SV6320,EV
LDV,V80LWB,EV
LEXUS,LS500,EV
LEXUS,NX 350,EV
LEXUS,RX,EV
MAZDA,200RAS,EV
MAZDA,300PAH,EV
MAZDA,323P01,EV
MAZDA,6 ANNI,EV
MAZDA,6 GT S,EV
MAZDA,6 GTSP,EV
MAZDA,BT50 P,EV
MAZDA,BT50 T,EV
MAZDA,CX 5 A,EV
MAZDA,CX 5 G,EV
MAZDA,CX3 AK,EV
MAZDA,CX3 S,EV
MAZDA,CX5 TO,EV
MAZDA,CX8 AS,EV
MAZDA,CX8 SP,EV
MAZDA,CX9 SP,EV
MINI,CONVER,EV
MINI,JCW 3D,EV
MINI,JCW AL,EV
MINI,JOHN,EV
NISSAN,ARIYA,EV
NISSAN,BRZ,EV
NISSAN,JUKE T,EV
NISSAN,NARAVA,EV
NISSAN,NARVAR,EV
NISSAN,PFINDE,EV
SUBARU,FORSTE,EV
SUBARU,I30,EV
SUBARU,SUBARU,EV
SUBARU,XV,EV
TESLA,Y RWD,EV
TOYOTA,328FG2,EV
TOYOTA,8FBE20,EV
TOYOTA,ALPHRD,EV
TOYOTA,CHE,EV
TOYOTA,FDZN25,EV
TOYOTA,HGILUX,EV
TOYOTA,HILUIX,EV
TOYOTA,HLIUX,EV
TOYOTA,KOBA,EV
TOYOTA,LAND76,EV
TOYOTA,LC PRA,EV
TOYOTA,RAV4CR,EV
TOYOTA,TAV4,EV
VOLVO,B11R,EV
VOLVO,C41,EV
VOLVO,FE350,EV
VOLVO,FM13 8,EV
VOLVO,FM370,EV
VOLVO,L150H,EV
CHERY,OMOA 5,EV
CHERY,TOGGO,EV
FORD,BF2SRW,EV
FORD,E TRAN,EV
FORD,EVERAS,EV
FORD,TANSIT,EV
FORD,ZRV,EV
JEEP,WRANG,EV
KIA,CAR,EV
KIA,CARN,EV
KIA,KA4 PE,EV
KIA,NERO,EV
KIA,PICANO,EV
KIA,PICNAT,EV
KIA,SEDAN,EV
LDV,71B5NW,EV
LDV,DEELIV,EV
LDV,DL9 LW,EV
LDV,INDIE,EV
LDV,MIFA M,EV
LDV,SV63D,EV
LEXUS,ES300S,EV
LEXUS,GX550,EV
LEXUS,RX350F,EV
LOTUS,ELETRE,EV
LOTUS,EMEYA,EV
MAZDA,200,EV
MAZDA,2024,EV
MAZDA,CX3 EV,EV
MAZDA,CX30 P,EV
MAZDA,CX60 H,EV
MAZDA,CX70,EV
MAZDA,GREY,EV
MINI,COUNT,EV
MINI,COUNTY,EV
MINI,COUTRY,EV
NISSAN,QA,EV
NISSAN,WARRIO,EV
NISSAN,Z NISM,EV
