make_standardized,model_raw,model_standardized
TOYOTA,CHR GR,CHR GR
TOYOTA,COROLA,COROLA
SUBARU,CROSS,CROSS
TOYOTA,CX3,CX3
MAZDA,CX3 20,CX3 20
MAZDA,CX3 PU,CX3 PU
KIA,D4HEPH,D4HEPH
LDV,D60,D60
LDV,EDELIV,EDELIV
FORD,EVERTE,EVERTE
VOLVO,FM11,FM11
VOLVO,FMX50,FMX50
VOLVO,FMX500,FMX500
TOYOTA,HI ACE,HI ACE
VOLVO,HS,HS
TOYOTA,ILUX,ILUX
KIA,JOLION,JOLION
TOYOTA,LANDCU,LANDCU
LEXUS,LBX,LBX
LEXUS,LBX LU,LBX LU
LEXUS,LBX SP,LBX SP
TOYOTA,LC79 D,LC79 D
LEXUS,LM500H,LM500H
MAZDA,M2,M2
MAZDA,M6,M6
NISSAN,NAVAR,NAVAR
KIA,PE CER,PE CER
TOYOTA,PRIUS,PRIUS
AUDI,Q5 E,Q5 E
AUDI,Q8 E,Q8 E
FORD,RANER,RANER
LEXUS,RC550H,RC550H
AUDI,RS Q3,RS Q3
LEXUS,RX450H,RX450H
NISSAN,SERENA,SERENA
TOYOTA,SHERWO,SHERWO
SUBARU,SOLTER,SOLTER
KIA,SORREN,SORREN
KIA,SPARTA,SPARTA
AUDI,TT COU,TT COU
KIA,TUCSON,TUCSON
LEXUS,UX300H,UX300H
AUDI,A4 ALL,A4 ALL
AUDI,RS 3,RS 3
AUDI,RSETRO,RSETRO
CHERY,CHR,CHR
FIAT,APPLAU,APPLAU
FIAT,FD 19,FD 19
FORD,E,E
FORD,F 250,F 250
FORD,F-150,F-150
FORD,FOCUS,FOCUS
FORD,MUSTAG,MUSTAG
FORD,RANGR,RANGR
FORD,SHELBY,SHELBY
FORD,SUPGD,SUPGD
KIA,CERRAT,CERRAT
KIA,NIRO G,NIRO G
KIA,PCIANT,PCIANT
KIA,R,R
KIA,SONIC,SONIC
KIA,SPORTG,SPORTG
KIA,WAGON,WAGON
KIA,YB STO,YB STO
LDV,D90 4X,D90 4X
LDV,DELOVE,DELOVE
LDV,E T60,E T60
LDV,ET60,ET60
LDV,GIO,GIO
LDV,SK8C,SK8C
LDV,SV6320,SV6320
LDV,V80LWB,V80LWB
LEXUS,LS500,LS500
LEXUS,NX 350,NX 350
LEXUS,RX,RX
MAZDA,200RAS,200RAS
MAZDA,300PAH,300PAH
MAZDA,323P01,323P01
MAZDA,6 ANNI,6 ANNI
MAZDA,6 GT S,6 GT S
MAZDA,6 GTSP,6 GTSP
MAZDA,BT50 P,BT50 P
MAZDA,BT50 T,BT50 T
MAZDA,CX 5 A,CX 5 A
MAZDA,CX 5 G,CX 5 G
MAZDA,CX3 AK,CX3 AK
MAZDA,CX3 S,CX3 S
MAZDA,CX5 TO,CX5 TO
MAZDA,CX8 AS,CX8 AS
MAZDA,CX8 SP,CX8 SP
MAZDA,CX9 SP,CX9 SP
MINI,CONVER,CONVER
MINI,JCW 3D,JCW 3D
MINI,JCW AL,JCW AL
MINI,JOHN,JOHN
NISSAN,ARIYA,ARIYA
NISSAN,BRZ,BRZ
NISSAN,JUKE T,JUKE T
NISSAN,NARAVA,NARAVA
NISSAN,NARVAR,NARVAR
NISSAN,PFINDE,PFINDE
SUBARU,FORSTE,FORSTE
SUBARU,I30,I30
SUBARU,SUBARU,SUBARU
SUBARU,XV,XV
TESLA,Y RWD,Y RWD
TOYOTA,328FG2,328FG2
TOYOTA,8FBE20,8FBE20
TOYOTA,ALPHRD,ALPHRD
TOYOTA,CHE,CHE
TOYOTA,FDZN25,FDZN25
TOYOTA,HGILUX,HGILUX
TOYOTA,HILUIX,HILUIX
TOYOTA,HLIUX,HLIUX
TOYOTA,KOBA,KOBA
TOYOTA,LAND76,LAND76
TOYOTA,LC PRA,LC PRA
TOYOTA,RAV4CR,RAV4CR
TOYOTA,TAV4,TAV4
VOLVO,B11R,B11R
VOLVO,C41,C41
VOLVO,FE350,FE350
VOLVO,FM13 8,FM13 8
VOLVO,FM370,FM370
VOLVO,L150H,L150H
CHERY,OMOA 5,OMOA 5
CHERY,TOGGO,TOGGO
FORD,BF2SRW,BF2SRW
FORD,E TRAN,E TRAN
FORD,EVERAS,EVERAS
FORD,TANSIT,TANSIT
FORD,ZRV,ZRV
JEEP,WRANG,WRANG
KIA,CAR,CAR
KIA,CARN,CARN
KIA,KA4 PE,KA4 PE
KIA,NERO,NERO
KIA,PICANO,PICANO
KIA,PICNAT,PICNAT
KIA,SEDAN,SEDAN
LDV,71B5NW,71B5NW
LDV,DEELIV,DEELIV
LDV,DL9 LW,DL9 LW
LDV,INDIE,INDIE
LDV,MIFA M,MIFA M
LDV,SV63D,SV63D
LEXUS,ES300S,ES300S
LEXUS,GX550,GX550
LEXUS,RX350F,RX350F
LOTUS,ELETRE,ELETRE
LOTUS,EMEYA,EMEYA
MAZDA,200,200
MAZDA,2024,2024
MAZDA,CX3 EV,CX3 EV
MAZDA,CX30 P,CX30 P
MAZDA,CX60 H,CX60 H
MAZDA,CX70,CX70
MAZDA,GREY,GREY
MINI,COUNT,COUNT
MINI,COUNTY,COUNTY
MINI,COUTRY,COUTRY
NISSAN,QA,QA
NISSAN,WARRIO,WARRIO
NISSAN,Z NISM,Z NISM
SKODA,KAORQ,KAORQ
SUBARU,2024,2024
SUBARU,GREEN,GREEN
TOYOTA,32 8FG,32 8FG
TOYOTA,427FG2,427FG2
TOYOTA,BZ4X S,BZ4X S
TOYOTA,CHRH,CHRH
TOYOTA,COXH,COXH
TOYOTA,HAICE,HAICE
TOYOTA,HIULX,HIULX
TOYOTA,HIUX R,HIUX R
TOYOTA,KLUH,KLUH
TOYOTA,LANCRU,LANCRU
TOYOTA,LANDRC,LANDRC
TOYOTA,LC 76,LC 76
TOYOTA,LC79 C,LC79 C
TOYOTA,MG ZS,MG ZS
TOYOTA,VOXY,VOXY
VOLVO,B0E,B0E
VOLVO,B8R E6,B8R E6
VOLVO,EX30,EX30
VOLVO,EX60,EX60
VOLVO,FE4X2R,FE4X2R
VOLVO,FM 600,FM 600
ZEEKR,CX5,CX5
ZEEKR,X,X
AUDI,Q8 E T,Q8 E T
AUDI,S7,S7
FIAT,C7454,C7454
FIAT,RANGER,RANGER
FORD,ALL N,ALL N
FORD,F 350,F 350
FORD,F250SR,F250SR
FORD,FORD R,FORD R
KIA,CEARTO,CEARTO
KIA,CERARO,CERARO
KIA,EV6 AI,EV6 AI
KIA,JA PIC,JA PIC
KIA,OMODA,OMODA
KIA,SORNET,SORNET
KIA,SPORAT,SPORAT
KIA,SPRENT,SPRENT
LDV,2024,2024
LDV,D90 4W,D90 4W
LDV,D90 DI,D90 DI
LDV,MIFA 9,MIFA 9
MAZDA,BT80,BT80
MAZDA,CCX30,CCX30
MAZDA,CX90 H,CX90 H
MAZDA,PEDDER,PEDDER
MAZDA,X5 G35,X5 G35
NISSAN,JUKEST,JUKEST
SKODA,KAROK,KAROK
SUBARU,BLUE,BLUE
SUBARU,YY6310,YY6310
TESLA,,
TESLA,TG3241,TG3241
TOYOTA,628FD,628FD
TOYOTA,8FD5ON,8FD5ON
TOYOTA,A25A0D,A25A0D
TOYOTA,A25AS2,A25AS2
TOYOTA,A25AS3,A25AS3
TOYOTA,CORLLA,CORLLA
TOYOTA,CORO H,CORO H
TOYOTA,GORTUN,GORTUN
TOYOTA,GR SUP,GR SUP
GAC,AION,AION
GAC,AION V,AION V
GAC,AIONV,AIONV
GAC,EMZOOM,EMZOOM
GAC,M8,M8
GEELY,EX5,EX5
GEELY,EX5 IN,EX5 IN
GEELY,INSPIR,INSPIR
GEELY,STARRA,STARRA
GEELY,STARRY,STARRY
JAECOO,GREEN,GREEN
JAECOO,J5,J5
JAECOO,J5 BEV,J5 BEV
JAECOO,J5 RID,J5 RID
JAECOO,J7,J7
JAECOO,J7 COR,J7 COR
JAECOO,J7 MY2,J7 MY2
JAECOO,J7 RID,J7 RID
JAECOO,J7 SUM,J7 SUM
JAECOO,J7 TRA,J7 TRA
JAECOO,J8,J8
JAECOO,J8 MY2,J8 MY2
JAECOO,J8 RID,J8 RID
JAECOO,JAECOO,JAECOO
JAECOO,MY25 J,MY25 J
JAECOO,OMODA,OMODA
KGM,ACTYON,ACTYON
KGM,MUSSO,MUSSO
KGM,REXTON,REXTON
KIA,ARIYA,ARIYA
KIA,CARIVA,CARIVA
KIA,CL4M,CL4M
KIA,CL4M K,CL4M K
KIA,EV3,EV3
KIA,EV3 AI,EV3 AI
KIA,EV3 GT,EV3 GT
KIA,EV5,EV5
KIA,EV5 AI,EV5 AI
KIA,EV5 GT,EV5 GT
KIA,K4,K4
KIA,K4 GT,K4 GT
KIA,MQ4 PE,MQ4 PE
KIA,PICAN,PICAN
KIA,STINIC,STINIC
KIA,TASMAN,TASMAN
KIA,TIGGO,TIGGO
KIA,TK,TK
KIA,TK TAS,TK TAS
LDV,DOUBLE,DOUBLE
LDV,EKK1C,EKK1C
LDV,SK8C T,SK8C T
LDV,T60 DC,T60 DC
LDV,TERRON,TERRON
LEXUS,ES 500,ES 500
LEXUS,LBX MO,LBX MO
LEXUS,MORIZO,MORIZO
LEXUS,NX450,NX450
MAZDA,CX 70,CX 70
MAZDA,CX 80,CX 80
MAZDA,CX80,CX80
MAZDA,MAZDZA,MAZDZA
MINI,ACEMAN,ACEMAN
MINI,TRITON,TRITON
NISSAN,D27 NA,D27 NA
NISSAN,WRANGL,WRANGL
SKODA,ELROQ,ELROQ
SKODA,ELROY,ELROY
SKODA,ENAQ,ENAQ
SKODA,ENYAQ,ENYAQ
